scaler,penalty,combination,best_params,ba_test_mean,ba_test_std,ba_train_mean,overfit_gap
PowerTransformer,ElasticNet,PowerTransformer + ElasticNet,"{'model__C': 0.1, 'model__l1_ratio': 0.5}",0.6845383727105103,0.004695560912452925,0.6954600101164319,0.010921637405921558
PowerTransformer,L2,PowerTransformer + L2,{'model__C': 0.1},0.6842858098879481,0.004422856895829963,0.6959015056303262,0.011615695742378085
PowerTransformer,L1,PowerTransformer + L1,{'model__C': 0.1},0.6838864106974828,0.005129955553384075,0.6947189943575671,0.010832583660084327
StandardScaler,L1,StandardScaler + L1,{'model__C': 10.0},0.6787609226731595,0.006041854399326202,0.6871073375679354,0.008346414894775944
StandardScaler,ElasticNet,StandardScaler + ElasticNet,"{'model__C': 10.0, 'model__l1_ratio': 0.5}",0.6787609226731595,0.006041854399326202,0.6871539188164301,0.008392996143270604
StandardScaler,L2,StandardScaler + L2,{'model__C': 10.0},0.6779555812764914,0.005545513661889655,0.68685336671763,0.008897785441138617
